counter,filename,scan_type,obs_seq,ele,n1,n2
3914,mapmaker_POLE3-350-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-350-3,POLE3,350,3
3915,mapmaker_POLE3-351-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-351-0,POLE3,351,0
3916,mapmaker_POLE3-351-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-351-1,POLE3,351,1
3917,mapmaker_POLE3-351-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-351-2,POLE3,351,2
3918,mapmaker_POLE3-351-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-351-3,POLE3,351,3
3919,mapmaker_POLE3-352-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-352-0,POLE3,352,0
3920,mapmaker_POLE3-352-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-352-1,POLE3,352,1
3921,mapmaker_POLE3-352-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-352-2,POLE3,352,2
3922,mapmaker_POLE3-352-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-352-3,POLE3,352,3
3923,mapmaker_POLE3-353-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-353-0,POLE3,353,0
3924,mapmaker_POLE3-353-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-353-1,POLE3,353,1
3925,mapmaker_POLE3-353-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-353-2,POLE3,353,2
3926,mapmaker_POLE3-353-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-353-3,POLE3,353,3
3927,mapmaker_POLE3-354-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-354-0,POLE3,354,0
3928,mapmaker_POLE3-354-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-354-1,POLE3,354,1
3929,mapmaker_POLE3-354-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-354-2,POLE3,354,2
3930,mapmaker_POLE3-354-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-354-3,POLE3,354,3
3931,mapmaker_POLE3-355-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-355-0,POLE3,355,0
3932,mapmaker_POLE3-355-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-355-1,POLE3,355,1
3933,mapmaker_POLE3-355-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-355-2,POLE3,355,2
3934,mapmaker_POLE3-355-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-355-3,POLE3,355,3
3935,mapmaker_POLE3-356-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-356-0,POLE3,356,0
3936,mapmaker_POLE3-356-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-356-1,POLE3,356,1
3937,mapmaker_POLE3-356-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-356-2,POLE3,356,2
3938,mapmaker_POLE3-356-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-356-3,POLE3,356,3
